CAMPUS,C000A002G16R,C200A002G16R,C2408FR16R,C300A002G16R,C3408FR16R,C400A002G16R,C4408FR16R,CA00A002G16R,CA408FR16R,CB00A002G16R,CB408FR16R,CE00A002G16R,CE408FR16R,CF00A002G16R,CF408FR16R,CH00A002G16R,CH408FR16R,CI00A002G16R,CI408FR16R,CL408FR16R,CM00A002G16R,CM408FR16R,CR00A002G16R,CR408FR16R,CS00A002G16R,CS408FR16R,CW00A002G16R,CW408FR16R
165901129,-1,-1,.,-1,.,.,.,52,22,59,-1,48,-1,57,-1,49,20,-1,-1,-1,49,22,56,22,-1,-1,60,-1
165901130,61,.,.,.,.,.,.,61,35,61,-1,61,26,60,36,62,38,.,.,31,62,34,57,35,-1,-1,50,.
165901131,-1,100,.,.,.,.,.,63,48,-1,-1,57,35,61,57,63,43,.,.,.,65,41,66,48,-1,-1,62,-1
165901132,-1,-1,-1,-1,.,-1,.,56,22,-1,.,59,20,57,27,55,16,-1,.,.,55,17,57,22,-1,-1,60,32
165901133,-1,-1,.,-1,.,-1,.,79,43,-1,-1,75,40,77,47,75,45,.,.,-1,81,41,76,42,-1,-1,82,38
165901134,51,-1,-1,.,.,.,.,54,13,65,-1,54,7,59,22,53,13,.,.,-1,49,-1,54,11,-1,-1,48,-1
165902001,-1,-1,.,.,.,.,.,-1,.,-1,.,-1,.,52,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
165902041,54,-1,.,.,.,.,.,54,31,-1,-1,52,30,56,38,52,32,.,.,-1,52,27,53,30,51,23,55,31
165902101,45,-1,-1,-1,.,.,.,54,24,-1,-1,53,19,59,30,52,21,.,.,-1,50,19,53,24,-1,-1,56,32
166901002,-1,-1,.,-1,.,.,.,32,.,-1,.,-1,.,36,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
166901041,-1,-1,-1,-1,.,.,.,56,29,48,33,56,33,59,32,55,33,.,.,-1,54,27,58,32,-1,-1,63,-1
166901101,60,-1,-1,-1,.,.,.,61,26,50,-1,59,30,61,53,61,40,.,.,-1,60,16,65,26,-1,-1,64,-1
166901104,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
166902101,-1,-1,.,.,.,.,.,70,38,-1,-1,58,-1,70,-1,63,-1,.,.,-1,71,-1,-1,-1,-1,-1,73,-1
166903001,-1,-1,.,.,.,.,.,58,.,-1,.,-1,.,59,.,-1,.,.,.,.,58,.,-1,.,-1,.,64,.
166903041,-1,-1,-1,-1,.,.,.,50,28,.,.,50,28,54,-1,-1,-1,.,.,-1,47,33,51,30,-1,-1,48,28
166903102,86,-1,-1,-1,.,.,.,73,-1,-1,-1,76,-1,70,-1,77,-1,.,.,-1,76,-1,72,-1,.,.,69,-1
166904001,-1,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,38,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
166904041,-1,-1,-1,.,.,.,.,51,24,39,-1,48,25,51,23,51,24,-1,.,-1,50,25,44,19,62,-1,55,29
166904101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
166904103,68,-1,-1,-1,.,.,.,77,31,74,-1,77,28,78,39,76,31,.,.,42,76,25,77,32,82,-1,81,44
166905001,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,29,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
166905041,-1,-1,.,.,.,.,.,66,24,.,.,61,-1,66,-1,64,-1,.,.,-1,66,-1,60,25,-1,-1,66,-1
166905101,-1,-1,.,.,.,.,.,64,36,.,.,56,-1,65,-1,53,-1,.,.,-1,63,-1,59,-1,-1,-1,69,-1
166907001,-1,-1,.,.,.,.,.,48,-1,.,.,50,-1,57,-1,50,-1,.,.,-1,38,-1,-1,-1,-1,-1,44,-1
167901001,-1,.,.,-1,.,.,.,64,.,.,.,-1,.,56,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
167901002,-1,.,.,-1,.,.,.,71,-1,.,.,68,-1,71,-1,60,-1,.,.,-1,71,-1,66,-1,-1,-1,74,-1
167901101,100,-1,.,-1,.,.,.,69,67,.,.,68,-1,68,-1,76,63,.,.,-1,71,71,79,67,86,-1,66,-1
167902001,.,.,.,.,.,.,.,-1,-1,.,.,-1,-1,59,-1,-1,-1,.,.,.,-1,-1,-1,.,-1,-1,-1,-1
167902002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
167902003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
167902005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
167902055,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
167902056,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
167902057,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
167902101,-1,.,.,.,.,.,.,-1,-1,.,.,-1,-1,40,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1
167904001,.,-1,-1,.,.,.,.,58,-1,.,.,59,-1,59,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,56,-1
168901001,-1,.,.,-1,.,.,.,43,.,-1,.,-1,.,45,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
168901003,.,.,.,.,.,.,.,-1,.,.,.,-1,.,0,.,-1,.,.,.,.,-1,.,-1,.,.,.,-1,.
168901041,-1,-1,.,-1,-1,-1,.,54,36,-1,-1,54,32,55,38,57,33,-1,.,-1,54,35,55,36,-1,-1,55,-1
168901101,-1,-1,-1,.,.,.,.,57,30,-1,-1,61,27,62,-1,62,42,.,.,-1,52,33,62,25,59,-1,53,-1
168901102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
168902001,-1,.,.,.,.,.,.,66,-1,-1,-1,64,-1,70,-1,64,-1,.,.,-1,62,-1,68,-1,-1,-1,67,.
168903001,.,-1,.,.,.,.,.,66,28,.,.,60,-1,65,-1,63,36,-1,.,.,67,-1,63,28,-1,-1,67,-1
169901001,-1,-1,.,-1,.,.,.,61,.,-1,.,57,.,67,.,-1,.,.,.,.,56,.,54,.,-1,.,60,.
169901041,-1,-1,-1,-1,.,.,.,56,22,-1,.,54,15,63,22,62,47,-1,-1,-1,50,22,56,24,-1,-1,54,16
169901042,53,-1,-1,-1,.,.,.,68,28,-1,-1,63,26,67,-1,56,26,-1,-1,-1,69,38,64,29,74,-1,71,26
169901105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
169902001,-1,-1,.,.,.,.,.,-1,.,-1,.,-1,.,66,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
169902041,-1,-1,.,-1,.,.,.,63,46,.,.,57,45,61,50,68,42,-1,.,-1,66,44,59,44,-1,-1,63,50
169902101,67,-1,-1,.,.,.,.,63,48,-1,.,66,57,61,-1,66,55,-1,.,-1,64,50,66,50,-1,-1,60,42
169906001,-1,-1,.,.,.,.,.,52,-1,.,.,49,-1,54,-1,-1,-1,-1,.,-1,50,-1,42,-1,63,-1,54,-1
169908101,.,-1,.,.,.,.,.,74,67,.,.,76,67,76,-1,-1,-1,-1,-1,.,73,88,68,-1,71,-1,79,70
169909001,.,-1,.,.,.,.,.,70,-1,.,.,64,-1,70,-1,-1,-1,.,.,.,70,-1,-1,-1,-1,-1,72,-1
169909101,.,.,.,.,.,.,.,70,-1,.,.,-1,-1,67,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1
169910001,.,-1,.,.,.,.,.,53,50,.,.,46,-1,47,-1,-1,-1,-1,.,.,60,-1,-1,-1,-1,-1,51,-1
169911001,-1,-1,-1,-1,.,.,.,65,-1,.,.,63,-1,68,-1,76,-1,.,.,-1,63,-1,72,-1,-1,-1,63,-1
169911101,.,-1,.,.,.,.,.,73,-1,.,.,75,-1,70,-1,-1,.,-1,.,.,76,-1,-1,-1,-1,-1,69,-1
170801003,84,-1,.,.,.,.,.,77,76,68,71,77,76,79,83,81,79,.,.,76,75,71,80,76,72,56,-1,.
170902001,33,-1,.,-1,.,.,.,47,.,-1,.,44,.,50,.,45,.,-1,.,.,44,.,39,.,29,.,55,.
170902002,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,38,.,-1,-1,.,.,.,-1,-1,-1,-1,-1,.,-1,-1
170902003,62,53,.,58,.,-1,.,60,.,-1,.,-1,.,64,.,62,.,-1,.,.,55,.,46,.,-1,.,59,.
170902005,39,59,.,73,.,-1,.,56,.,56,.,46,.,60,.,52,.,-1,.,.,52,.,44,.,37,.,57,.
170902010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
170902011,-1,-1,.,-1,.,-1,.,32,.,-1,.,31,.,34,.,31,.,-1,.,.,30,.,25,.,-1,.,32,.
170902014,56,-1,.,78,.,-1,.,59,.,48,.,45,.,62,.,57,.,71,.,.,57,.,43,.,-1,.,59,.
170902041,59,74,-1,82,-1,-1,.,68,45,68,27,66,42,71,47,68,47,-1,.,36,66,44,67,46,64,18,67,55
170902043,57,-1,-1,.,.,.,.,67,40,69,35,67,40,68,40,67,43,-1,-1,27,66,41,67,40,42,15,71,-1
170902045,60,68,-1,93,-1,-1,.,60,38,60,42,51,28,61,50,56,38,-1,-1,36,59,31,56,40,60,18,59,39
170902046,70,68,-1,88,-1,-1,-1,75,44,83,39,74,37,78,48,72,37,-1,.,24,72,42,71,44,59,25,75,53
170902049,66,68,-1,75,-1,-1,-1,66,59,67,56,67,57,70,64,65,53,-1,.,46,62,56,65,60,70,31,66,62
170902050,88,86,-1,83,-1,.,.,81,50,84,.,66,-1,82,50,81,63,-1,.,-1,80,50,71,40,75,-1,80,-1
170902051,64,-1,-1,-1,.,.,.,66,47,-1,-1,66,46,67,52,67,51,-1,.,43,64,44,64,46,66,23,64,42
170902053,74,76,-1,84,-1,-1,.,75,59,76,-1,69,31,77,63,72,59,-1,.,45,72,56,68,52,60,41,74,60
170902054,68,71,-1,80,-1,-1,.,72,51,66,28,73,45,74,51,69,51,77,-1,35,69,51,69,53,69,30,73,59
170902067,71,78,-1,83,-1,.,.,74,41,66,-1,65,-1,73,45,70,50,-1,.,-1,76,39,63,36,66,-1,75,43
170902068,50,67,-1,-1,.,.,.,55,32,56,-1,55,32,58,39,51,27,-1,.,30,53,27,52,27,61,23,59,39
170902069,63,72,-1,72,-1,-1,.,67,33,67,-1,64,25,67,35,62,34,.,.,37,67,30,66,35,67,13,71,41
170902070,63,-1,-1,-1,.,.,.,66,37,72,38,66,38,66,46,65,38,.,.,39,66,30,62,36,69,16,70,-1
170902071,79,70,.,90,.,.,.,79,45,-1,-1,80,.,80,-1,79,71,.,.,83,78,-1,74,71,66,-1,78,-1
170902073,57,-1,-1,76,-1,.,.,61,23,66,40,59,21,64,19,56,21,-1,-1,26,58,25,58,18,55,-1,61,-1
170902074,85,85,-1,87,.,.,.,82,88,71,-1,86,-1,85,100,81,-1,-1,.,100,78,-1,82,88,70,-1,81,-1
170902077,68,61,-1,79,-1,-1,.,68,42,67,29,63,48,70,51,65,31,-1,-1,-1,66,36,62,39,62,31,69,58
170902078,63,-1,-1,70,-1,.,.,63,27,64,-1,63,27,64,33,64,24,-1,-1,25,61,24,63,26,70,13,60,30
170902101,73,-1,.,.,.,.,.,75,75,-1,-1,75,73,74,71,76,73,.,.,70,76,-1,72,70,-1,-1,73,.
170902102,61,-1,.,.,.,.,.,60,32,-1,.,62,31,62,26,62,23,-1,.,-1,57,39,59,-1,48,-1,58,42
170902103,59,-1,.,-1,.,.,.,61,22,-1,-1,61,23,58,-1,60,-1,-1,.,-1,65,-1,57,-1,-1,-1,77,-1
170902104,49,-1,-1,.,.,.,.,44,19,-1,-1,45,20,39,-1,48,25,-1,.,22,49,-1,47,23,38,-1,-1,-1
170902105,53,-1,-1,-1,-1,.,.,56,27,-1,-1,54,27,61,44,54,28,-1,.,22,51,19,52,19,-1,-1,58,-1
170902106,60,-1,-1,.,.,.,.,61,19,-1,-1,60,22,62,-1,61,-1,.,.,-1,60,28,58,21,50,-1,60,-1
170902107,59,-1,.,-1,.,.,.,59,33,-1,-1,58,29,56,42,59,-1,.,.,-1,62,-1,59,33,-1,-1,-1,-1
170902108,73,-1,-1,81,-1,.,.,72,55,-1,-1,75,58,72,-1,75,-1,.,.,-1,72,53,77,67,74,-1,68,63
170902109,43,-1,-1,-1,.,.,.,53,-1,-1,-1,58,-1,55,-1,57,-1,.,.,-1,51,-1,50,-1,-1,-1,51,-1
170902111,54,-1,.,-1,.,.,.,53,37,-1,-1,52,27,52,-1,56,38,-1,.,-1,54,35,49,43,-1,-1,50,-1
170902112,74,-1,-1,81,-1,.,.,71,32,-1,.,69,31,71,45,73,38,.,.,43,71,-1,71,26,-1,-1,69,-1
170902113,63,-1,-1,-1,.,.,.,59,-1,-1,-1,62,-1,63,-1,56,-1,.,.,-1,55,-1,58,-1,-1,-1,61,-1
170902114,56,-1,.,-1,.,.,.,49,-1,-1,-1,50,-1,51,-1,52,-1,-1,.,-1,47,-1,54,-1,-1,-1,48,-1
170902115,66,.,.,.,.,.,.,51,-1,-1,-1,57,-1,50,-1,62,-1,-1,.,-1,52,-1,56,-1,-1,-1,36,-1
170902116,62,-1,.,-1,.,.,.,64,-1,-1,.,57,-1,65,-1,65,-1,.,.,-1,64,-1,63,-1,-1,-1,61,-1
170902117,69,73,-1,82,-1,.,.,63,-1,-1,-1,-1,-1,68,-1,65,-1,.,.,-1,59,-1,50,-1,38,-1,60,-1
170902118,-1,-1,.,-1,.,-1,.,73,-1,-1,-1,-1,-1,77,-1,80,-1,.,.,.,69,-1,-1,-1,-1,-1,70,-1
170902119,-1,-1,.,-1,.,.,.,66,-1,-1,-1,71,-1,71,-1,85,.,.,.,.,61,-1,66,-1,68,-1,64,-1
170902120,85,-1,.,70,-1,.,.,75,-1,.,.,-1,-1,73,-1,86,-1,.,.,-1,77,-1,75,-1,-1,-1,75,-1
170902121,79,-1,.,85,.,-1,.,77,-1,-1,-1,69,-1,83,-1,73,-1,-1,.,-1,72,-1,80,-1,-1,-1,77,-1
170902122,88,-1,.,75,.,.,.,69,-1,-1,.,-1,.,68,.,71,.,.,.,.,70,-1,67,-1,-1,.,68,-1
170902123,77,75,-1,95,.,.,.,83,-1,-1,-1,-1,.,86,-1,77,-1,-1,.,-1,81,-1,64,-1,-1,-1,85,-1
170902124,69,-1,.,-1,.,.,.,67,62,65,-1,69,63,72,73,69,60,.,.,67,63,50,70,58,-1,-1,58,-1
170902125,61,-1,-1,.,.,.,.,70,67,78,-1,72,-1,71,78,65,-1,-1,.,-1,69,-1,59,67,69,-1,70,86
170902126,-1,-1,.,-1,.,.,.,55,-1,-1,.,63,-1,64,-1,52,-1,.,.,.,47,-1,46,-1,-1,-1,58,-1
170902127,81,88,-1,75,-1,.,.,82,59,85,-1,70,-1,82,67,79,86,.,.,-1,83,-1,78,83,64,-1,83,-1
170902128,71,-1,-1,.,.,.,.,69,-1,-1,-1,73,-1,73,-1,73,-1,-1,.,-1,67,-1,70,-1,50,-1,62,-1
170902129,73,-1,.,-1,.,.,.,73,-1,71,-1,59,.,75,-1,76,-1,.,.,.,70,-1,67,-1,-1,-1,71,-1
170902130,75,-1,.,-1,.,.,.,60,47,-1,-1,54,-1,64,-1,55,-1,-1,.,-1,58,-1,51,47,-1,-1,62,64
170902131,-1,-1,-1,-1,.,.,.,73,62,69,-1,80,-1,68,-1,73,-1,.,.,-1,77,56,83,62,100,-1,74,-1
170902201,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
170903002,-1,-1,.,-1,.,-1,.,56,.,-1,.,57,.,60,.,61,.,-1,.,.,52,.,44,.,44,.,55,.
170903003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
170903042,63,-1,-1,69,.,-1,.,72,45,56,-1,70,38,76,53,68,39,-1,-1,-1,68,39,68,44,48,13,73,50
170903051,-1,-1,-1,-1,.,-1,.,58,13,49,-1,52,-1,53,-1,57,-1,-1,-1,-1,63,16,51,-1,60,-1,59,19
170903102,72,-1,-1,-1,.,.,.,73,58,92,-1,71,48,73,63,69,63,-1,.,-1,72,53,73,43,75,-1,73,56
170903103,60,-1,.,-1,-1,.,.,63,30,-1,-1,61,-1,68,-1,58,-1,-1,.,-1,58,-1,61,-1,-1,-1,65,63
170903104,-1,-1,.,-1,.,.,.,64,38,.,.,53,-1,66,-1,78,-1,-1,.,-1,61,-1,66,-1,81,-1,63,-1
170903105,-1,-1,-1,.,.,.,.,71,31,-1,.,75,-1,70,-1,74,-1,.,.,.,73,-1,83,36,-1,-1,70,38
170903106,-1,-1,.,-1,.,.,.,56,46,-1,.,65,-1,60,-1,63,.,-1,-1,.,53,-1,-1,-1,65,-1,56,42
170904002,32,-1,.,-1,.,-1,.,44,.,-1,.,40,.,46,.,40,.,-1,.,.,43,.,34,.,-1,.,48,.
170904004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
170904042,44,55,-1,-1,.,-1,.,43,20,41,17,43,18,45,22,45,23,-1,-1,21,41,18,43,21,43,-1,41,16
170904043,55,60,-1,-1,-1,.,.,60,39,53,-1,55,36,62,41,60,40,-1,-1,37,58,38,57,39,50,16,60,40
170904101,-1,76,-1,.,.,.,.,64,31,62,-1,63,32,61,40,59,45,-1,.,-1,67,25,64,33,62,-1,65,33
170904103,53,-1,-1,.,.,.,.,60,20,67,-1,58,11,60,29,60,-1,-1,.,-1,60,16,57,19,-1,-1,59,39
170904104,67,-1,.,-1,.,.,.,70,24,-1,-1,71,-1,71,33,65,-1,.,.,-1,69,-1,66,22,62,-1,72,27
170904106,66,-1,-1,-1,.,.,.,70,47,-1,.,69,42,77,50,67,46,.,.,45,63,42,69,47,-1,-1,74,44
170904107,74,-1,.,-1,.,.,.,71,45,-1,-1,70,49,66,42,70,52,-1,.,50,74,48,67,44,68,-1,71,42
170906001,-1,-1,.,-1,.,.,.,43,.,-1,.,36,.,45,.,44,.,-1,.,.,41,.,25,.,-1,.,43,.
170906002,-1,-1,.,-1,.,-1,.,41,.,-1,.,38,.,46,.,37,.,-1,.,.,36,.,31,.,-1,.,43,.
170906012,-1,.,.,.,.,.,.,-1,.,-1,.,-1,.,63,.,-1,.,.,.,.,-1,.,-1,.,.,.,-1,.
170906041,56,-1,-1,-1,-1,-1,.,62,36,53,-1,57,33,65,37,60,36,75,-1,29,58,34,60,35,55,13,63,37
170906042,59,65,-1,79,-1,.,.,64,45,47,-1,60,43,66,51,63,45,-1,.,44,61,40,60,45,62,23,64,45
170906102,65,-1,-1,-1,.,.,.,71,31,-1,-1,69,28,70,24,69,24,.,.,-1,71,35,72,29,72,-1,73,37
170906103,62,-1,.,-1,-1,.,.,68,31,-1,-1,67,29,66,33,64,31,.,.,23,71,29,63,20,56,27,71,36
170906104,-1,75,-1,-1,.,.,.,72,43,-1,-1,61,-1,67,-1,70,-1,.,.,-1,76,47,75,48,-1,-1,73,38
170906105,60,-1,-1,-1,-1,.,.,69,36,-1,-1,67,34,73,42,65,36,-1,-1,29,64,29,67,35,72,-1,75,35
170906106,75,93,-1,-1,.,.,.,75,56,-1,-1,75,51,75,56,74,53,-1,.,49,76,56,76,55,61,-1,77,63
170906107,-1,-1,-1,-1,-1,.,.,67,58,-1,.,63,63,71,62,73,100,.,.,-1,63,53,66,53,61,47,66,47
170906108,43,-1,-1,-1,.,.,.,62,53,-1,-1,55,-1,62,50,57,-1,.,.,-1,63,56,62,48,59,-1,64,57
170906109,58,-1,-1,-1,.,-1,.,67,29,-1,-1,59,-1,69,33,62,26,-1,-1,-1,64,25,63,26,69,-1,70,38
170907001,-1,-1,.,.,.,.,.,50,.,-1,.,48,.,51,.,47,.,.,.,.,50,.,48,.,-1,.,52,.
170907041,58,-1,.,-1,.,.,.,59,30,-1,-1,59,29,64,34,59,26,-1,-1,21,54,28,58,29,54,-1,59,34
170907101,63,-1,-1,.,.,.,.,69,43,-1,-1,67,40,71,39,69,36,-1,-1,.,66,50,75,39,-1,45,69,47
170907102,64,-1,.,.,.,.,.,63,58,.,.,63,54,63,64,66,64,.,.,65,62,55,63,54,-1,-1,56,-1
170907104,-1,.,.,.,.,.,.,55,23,-1,.,52,23,61,35,57,45,-1,-1,-1,50,-1,57,19,-1,-1,54,-1
170908001,-1,-1,.,-1,.,-1,.,29,.,-1,.,27,.,32,.,26,.,-1,.,.,26,.,-1,.,-1,.,-1,.
170908002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
170908003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
170908006,-1,-1,.,-1,.,-1,.,42,.,-1,.,39,.,44,.,38,.,-1,.,.,40,.,36,.,-1,.,48,.
170908007,-1,.,.,-1,.,.,.,54,.,-1,.,52,.,59,.,50,.,.,.,.,46,.,-1,.,-1,.,-1,.
170908041,53,-1,-1,-1,-1,-1,.,58,35,-1,-1,54,31,60,49,57,34,-1,.,27,56,26,53,34,52,15,59,44
170908042,57,75,-1,-1,.,-1,-1,60,41,-1,-1,60,41,64,48,59,42,-1,-1,37,55,36,56,38,54,21,60,39
170908044,57,-1,-1,67,-1,.,.,58,35,62,-1,57,30,61,40,58,37,-1,.,26,56,31,58,34,53,12,57,29
170908045,44,-1,-1,-1,-1,-1,.,58,29,54,-1,57,27,61,32,58,27,-1,-1,18,55,27,56,26,58,15,60,33
170908101,54,-1,-1,.,.,.,.,53,19,-1,.,53,18,56,-1,50,19,.,.,-1,50,20,56,16,42,-1,56,19
170908102,56,-1,-1,-1,.,.,.,60,36,-1,-1,62,41,60,32,58,48,.,.,40,59,40,56,32,59,31,61,-1
170908106,57,-1,-1,-1,.,-1,-1,62,33,-1,-1,59,32,65,48,59,36,.,.,33,59,24,60,33,49,-1,71,-1
170908107,60,-1,-1,54,-1,.,.,63,56,61,-1,58,50,63,47,64,67,-1,.,58,64,65,66,62,60,-1,65,45
170908109,65,-1,-1,-1,.,.,.,71,41,-1,-1,70,43,70,50,71,43,-1,-1,31,71,35,69,43,53,-1,71,42
170908110,61,.,.,-1,-1,.,.,62,35,-1,.,61,32,65,42,63,32,.,.,31,60,28,61,35,-1,-1,60,43
170908111,58,-1,.,-1,.,.,.,64,26,-1,.,60,27,64,-1,61,23,.,.,-1,64,22,59,27,61,-1,66,-1
170908113,56,-1,.,.,.,-1,-1,61,38,-1,-1,61,33,59,44,56,31,.,.,31,62,34,59,35,-1,-1,69,46
170908114,58,-1,.,83,.,.,.,57,33,-1,-1,57,32,62,39,58,33,-1,.,37,51,29,56,30,60,-1,51,-1
171901001,-1,-1,.,-1,.,.,.,44,.,-1,.,41,.,44,.,44,.,.,.,.,44,.,-1,.,-1,.,-1,.
171901002,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,0,.,-1,.,.,.,.,-1,.,-1,.,.,.,.,.
171901041,64,-1,-1,80,60,-1,.,67,34,-1,-1,68,34,70,39,67,33,-1,-1,33,65,31,66,34,60,12,67,41
171901101,58,.,.,79,.,.,.,56,-1,-1,-1,60,-1,55,-1,54,-1,.,.,-1,58,-1,55,-1,-1,-1,.,.
171901102,80,-1,.,94,-1,.,.,63,-1,.,.,68,-1,65,-1,61,-1,-1,.,-1,61,-1,58,-1,-1,-1,58,-1
171901103,47,-1,.,.,.,.,.,49,-1,.,.,50,-1,45,-1,53,-1,.,.,-1,55,-1,47,-1,-1,-1,-1,-1
171901104,56,.,.,-1,.,.,.,52,35,.,.,49,33,52,-1,52,39,.,.,36,51,38,49,32,-1,-1,-1,-1
171901105,55,-1,-1,-1,.,.,.,59,-1,.,.,59,-1,55,-1,58,-1,.,.,-1,61,-1,56,-1,-1,-1,63,-1
171901106,61,-1,-1,76,-1,.,.,61,30,-1,-1,60,27,62,30,61,31,-1,.,20,60,29,60,28,67,26,61,31
171902001,-1,.,.,-1,.,.,.,-1,.,.,.,-1,.,62,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
171902041,-1,-1,.,.,.,.,.,60,33,-1,-1,61,32,61,46,59,40,.,.,-1,57,-1,52,30,74,-1,59,-1
171902101,-1,.,.,.,.,.,.,60,-1,.,.,58,-1,67,-1,57,-1,-1,.,-1,54,-1,54,-1,-1,-1,64,-1
172902001,-1,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,40,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
172902041,68,-1,-1,-1,.,.,.,65,37,64,37,62,34,70,48,65,-1,-1,.,-1,61,28,62,36,-1,-1,65,38
172902101,62,-1,-1,.,.,.,.,57,53,60,50,58,55,62,47,59,56,.,.,63,54,57,61,54,-1,-1,52,75
172902102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
172905002,-1,-1,.,.,.,.,.,52,.,-1,.,51,.,58,.,-1,.,.,.,.,46,.,-1,.,-1,.,53,.
172905041,-1,-1,-1,.,.,.,.,57,21,-1,-1,54,21,61,-1,-1,-1,-1,-1,-1,53,-1,53,21,-1,-1,61,39
172905102,-1,-1,-1,.,.,.,.,66,33,72,-1,69,35,64,-1,-1,-1,.,.,-1,67,38,68,36,56,-1,66,36
173901001,.,.,.,.,.,.,.,71,42,-1,-1,73,45,73,-1,-1,-1,.,.,.,69,-1,69,42,-1,-1,71,-1
174801101,.,-1,.,-1,.,.,.,78,-1,-1,.,-1,.,75,.,82,.,-1,.,.,81,-1,70,-1,-1,-1,75,-1
174901001,-1,-1,.,.,.,.,.,-1,.,-1,.,-1,.,48,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
174901101,-1,-1,-1,.,.,.,.,64,-1,-1,-1,67,-1,62,-1,-1,-1,.,.,-1,67,-1,62,-1,-1,-1,65,-1
174902001,-1,-1,.,.,.,.,.,63,-1,-1,-1,59,-1,63,-1,-1,-1,.,.,-1,64,-1,61,-1,-1,-1,64,-1
174902002,70,-1,.,-1,.,-1,.,62,-1,-1,.,58,-1,66,-1,70,.,-1,.,.,57,-1,64,-1,81,-1,60,-1
174903001,.,-1,.,.,.,.,.,52,.,-1,.,-1,.,46,.,-1,.,.,.,.,57,.,-1,.,-1,.,61,.
174903041,-1,-1,-1,-1,.,.,.,72,54,-1,-1,69,60,79,60,-1,-1,.,.,-1,68,50,74,55,88,45,74,50
174903101,55,-1,-1,-1,.,.,.,60,38,71,-1,60,-1,56,-1,60,-1,.,.,-1,63,-1,63,42,-1,-1,56,-1
174904002,-1,-1,.,-1,.,-1,.,38,.,-1,.,-1,.,39,.,-1,.,-1,.,.,-1,.,31,.,-1,.,48,.
174904005,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,0,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,.
174904042,54,-1,-1,69,-1,.,.,58,27,54,29,56,28,62,34,57,24,-1,-1,20,55,21,57,27,45,-1,65,-1
174904043,58,-1,-1,72,.,.,.,60,23,59,18,59,24,61,31,59,28,-1,-1,27,59,17,58,23,59,-1,63,23
174904101,76,-1,-1,.,.,.,.,75,37,73,46,74,40,76,48,77,-1,.,.,-1,73,27,70,35,79,-1,71,-1
